,N,sx,sy,sz,sx_err_stat,sy_err_stat,sz_err_stat,sx_err_sm,sy_err_sm,sz_err_sm,sx_err_tot,sy_err_tot,sz_err_tot,M,Mxder,Myder,Mzder,Meder,M_err_no_Ebeam,M_err_due_to_Ebeam,M_err_with_Ebeam,varN,varN_top_no_Ebeam,varN_bottom_no_Ebeam,varN_top_with_Ebeam,varN_bottom_with_Ebeam
34,8861435.844969831,481.5340229503099,275.559533130635,25.16945362619935,2.02370910686093,0.6831758341120098,0.09119185892226393,5.1918764509721145,5.79525209406837,0,5.572340588240337,5.835381397485383,0.09119185892226393,3193124.407550552,6230.587099743155,9503.153761234831,126865.06647990046,340647.2183006785,66441.35332024597,340647.2183006785,347066.2483835267,33453351.22691789,33975924.22532365,32952081.96021743,36452244.199180916,31042457.396137495
35,9122066.310998356,482.5410672512326,276.371676768465,25.277071218692136,2.02370910686093,0.6831758341120098,0.09119185892226393,5.1918764509721145,5.79525209406837,0,5.572340588240337,5.835381397485383,0.09119185892226393,3220851.422237175,6272.797153445597,9564.666548819267,127421.85969137866,343464.00346580875,66872.70213781453,343464.00346580875,349913.5321304021,34957500.13689423,35505279.758814424,34432004.32110136,38106355.40655814,32425782.698286846
36,9382696.77702688,483.5481115521553,277.1838204062951,25.38468881118492,2.02370910686093,0.6831758341120098,0.09119185892226393,5.1918764509721145,5.79525209406837,0,5.572340588240337,5.835381397485383,0.09119185892226393,3248728.4776143697,6315.143292886842,9626.366365411863,127979.84256489784,346295.0040474845,67305.3873021191,346295.0040474845,352775.0628773745,36480990.5914355,37054275.284678355,35930977.764455125,39782011.33838552,33826654.09092429
37,9643327.243055405,485.9088935520181,278.4076204619481,25.46289673229843,2.02370910686093,0.6831758341120098,0.09119185892226393,5.1918764509721145,5.79525209406837,0,5.572340588240337,5.835381397485383,0.09119185892226393,3285566.0331331464,6358.765853088003,9703.323806214321,129033.47437943178,349999.807197301,67823.95029253035,349999.807197301,356510.80386354565,37947053.109120205,38543642.40894958,37374596.42924657,41392049.283999585,35176495.39920516
38,9903957.70908393,488.3853325607478,279.6665905139775,25.532403613587068,2.02370910686093,0.6831758341120098,0.09119185892226393,5.1918764509721145,5.79525209406837,0,5.572340588240337,5.835381397485383,0.09119185892226393,3322627.528368192,6401.048170774285,9779.50779211056,130133.75390165208,353718.2577966284,68335.60015799208,353718.2577966284,360258.7405568879,39425286.07522076,40045192.87395428,38830364.33325599,43015425.36527468,36537519.30748538
39,10164588.175112454,490.99759103710585,280.80951928926595,25.591022329115777,2.02370910686093,0.6831758341120098,0.09119185892226393,5.1918764509721145,5.79525209406837,0,5.572340588240337,5.835381397485383,0.09119185892226393,3358279.310823566,6438.685365628857,9854.013474744406,131228.80624439678,357301.3807787719,68825.51018083346,357301.3807787719,363869.7947866365,40930002.00970461,41573709.27279995,40312149.5033813,44668503.62699005,37922437.15916008
40,10425218.641140979,493.73582262590594,281.8448193051574,25.639467553465344,2.02370910686093,0.6831758341120098,0.09119185892226393,5.1918764509721145,5.79525209406837,0,5.572340588240337,5.835381397485383,0.09119185892226393,3392586.9547139625,6471.9480562462595,9926.920603535847,132318.9316486189,360755.4639536136,69294.89863647365,360755.4639536136,367350.36103075516,42461297.64703837,43129290.95306275,41820046.171262205,46351395.106985524,39331334.511869654
41,10685849.107169503,496.4302234250686,282.8832707225546,25.69023611775207,2.02370910686093,0.6831758341120098,0.09119185892226393,5.1918764509721145,5.79525209406837,0,5.572340588240337,5.835381397485383,0.09119185892226393,3427162.78292176,6505.8792030933655,10000.136347595382,133403.31973646497,364235.1412271836,69767.70804140982,364235.1412271836,370856.8068542598,44004188.028861195,44696553.41645149,43339449.58229485,48047085.85353687,40750825.983165346
42,10946479.573198028,497.3298476423658,284.05076525483554,25.782646445697033,2.02370910686093,0.6831758341120098,0.09119185892226393,5.1918764509721145,5.79525209406837,0,5.572340588240337,5.835381397485383,0.09119185892226393,3457099.2719012382,6551.781927312206,10056.480199869522,134086.2847102419,367212.7382159404,70186.4971058101,367212.7382159404,373860.0533408627,45607160.57254447,46325428.78563508,44917476.7913149,49809962.602708295,42224654.273961574
43,11207110.039226552,498.2294718596629,285.21825978711655,25.875056773641994,2.02370910686093,0.6831758341120098,0.09119185892226393,5.1918764509721145,5.79525209406837,0,5.572340588240337,5.835381397485383,0.09119185892226393,3487204.869702335,6597.856196445613,10112.981774482747,134770.90698616853,370206.0910469846,70606.60811514378,370206.0910469846,376879.0826748199,47224298.625583865,47968621.289596684,46509518.897714145,51588511.870243646,43711402.64240999
