,N,sx,sy,sz,sx_err_stat,sy_err_stat,sz_err_stat,sx_err_sm,sy_err_sm,sz_err_sm,sx_err_tot,sy_err_tot,sz_err_tot,M,Mxder,Myder,Mzder,Meder,M_err_no_Ebeam,M_err_due_to_Ebeam,M_err_with_Ebeam,varN,varN_top_no_Ebeam,varN_bottom_no_Ebeam,varN_top_with_Ebeam,varN_bottom_with_Ebeam
10,2284511.7419394543,520.2231023839646,211.88721845297488,43.217790211805706,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,4792635.326041598,8749.784455336741,17159.250450278276,110894.96484094654,529623.9684568709,1608739.0945527987,529623.9684568709,1693677.3666512058,3373472.938444632,3923696.4136769576,3099804.4519344796,3968624.2621641196,3089128.192968516
11,2512962.9161334,520.2231023839646,211.88721845297488,43.217790211805706,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,4792635.326041598,8749.784455336741,17159.250450278276,110894.96484094654,529623.9684568709,1608739.0945527987,529623.9684568709,1693677.3666512058,3830605.963904665,4496376.368935779,3499467.0952273807,4550739.0656052455,3486548.821878565
12,2741414.0903273453,520.2231023839646,211.88721845297488,43.217790211805706,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,4792635.326041598,8749.784455336741,17159.250450278276,110894.96484094654,529623.9684568709,1608739.0945527987,529623.9684568709,1693677.3666512058,4309518.2132948,5101840.01762935,3915435.5927201817,5166536.119450863,3900061.779809194
13,2969865.264521291,520.2231023839646,211.88721845297488,43.217790211805706,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,4792635.326041598,8749.784455336741,17159.250450278276,110894.96484094654,529623.9684568709,1608739.0945527987,529623.9684568709,1693677.3666512058,4810209.686615041,5740087.359757671,4347709.944412884,5816015.423700976,4329667.066760406
14,3198316.4387152363,520.2231023839646,211.88721845297488,43.217790211805706,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,4792635.326041598,8749.784455336741,17159.250450278276,110894.96484094654,529623.9684568709,1608739.0945527987,529623.9684568709,1693677.3666512058,5332680.383865384,6411118.395320741,4796290.150305486,6499176.978355581,4775364.682732197
15,3426767.612909182,520.2231023839646,211.88721845297488,43.217790211805706,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,4792635.326041598,8749.784455336741,17159.250450278276,110894.96484094654,529623.9684568709,1608739.0945527987,529623.9684568709,1693677.3666512058,5876930.305045832,7114933.124318564,5261176.2103979895,7216020.7834146805,5237154.627724571
16,3655218.787103127,520.2231023839646,211.88721845297488,43.217790211805706,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,4792635.326041598,8749.784455336741,17159.250450278276,110894.96484094654,529623.9684568709,1608739.0945527987,529623.9684568709,1693677.3666512058,6442959.450156381,7851531.546751136,5742368.124690392,7966546.838878272,5715036.901737526
17,3883669.9612970725,520.2231023839646,211.88721845297488,45.221966082209,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,5014888.338725044,9155.545758510116,17954.991175061106,110894.96484094654,554184.6776640376,1633458.870669369,554184.6776640376,1724908.2697714807,6891292.733634969,8344177.717194131,6152337.931430822,8468163.499909477,6121555.352269696
18,4112121.135491018,520.2231023839646,211.88721845297488,49.45811773339726,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,5484656.2271444835,10013.188263746095,19636.918612161833,110894.96484094654,606097.7310036917,1688059.069734834,606097.7310036917,1793571.264946519,7195184.053685196,8565988.515112884,6469602.1636741515,8693305.368888523,6435425.848256174
19,4340572.309684964,520.2231023839646,211.88721845297488,53.69426938458552,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,5954424.1155639235,10870.830768982076,21318.84604926256,110894.96484094654,658010.7843433458,1745602.2709659995,658010.7843433458,1865504.082202395,7504701.637718148,8817019.32294735,6787390.934691587,8948284.816137409,6749874.223861807
