"filename", "language", "pip requirements", "Jupyter", "comment", "blank", "total"
"/home/ilobach/fur/shifts/shift_03_16_2020/comb_filter_transmission_03_16_2020.ipynb", "Jupyter", 0, 592, 0, 1, 593
"/home/ilobach/fur/shifts/shift_03_16_2020/flat/.ipynb_checkpoints/FLAT-checkpoint.ipynb", "Jupyter", 0, 1411, 0, 1, 1412
"/home/ilobach/fur/shifts/shift_03_16_2020/flat/.ipynb_checkpoints/FLAT_precalculate_beam_params_vs_current-checkpoint.ipynb", "Jupyter", 0, 6403, 0, 1, 6404
"/home/ilobach/fur/shifts/shift_03_16_2020/flat/.ipynb_checkpoints/FLAT_with_M_calculation_with_beam_divergence-checkpoint.ipynb", "Jupyter", 0, 451, 0, 1, 452
"/home/ilobach/fur/shifts/shift_03_16_2020/flat/.ipynb_checkpoints/FLAT_with_M_calculation_with_beam_divergence_vs_no_beam_divergence-checkpoint.ipynb", "Jupyter", 0, 528, 0, 1, 529
"/home/ilobach/fur/shifts/shift_03_16_2020/flat/.ipynb_checkpoints/ex_plot-checkpoint.ipynb", "Jupyter", 0, 177, 0, 1, 178
"/home/ilobach/fur/shifts/shift_03_16_2020/flat/.ipynb_checkpoints/ey_measurement_rcc_cluster-checkpoint.ipynb", "Jupyter", 0, 256, 0, 1, 257
"/home/ilobach/fur/shifts/shift_03_16_2020/flat/.ipynb_checkpoints/plot_flat-checkpoint.ipynb", "Jupyter", 0, 881, 0, 1, 882
"/home/ilobach/fur/shifts/shift_03_16_2020/flat/.ipynb_checkpoints/plot_flat_flat_nd_filters-checkpoint.ipynb", "Jupyter", 0, 98, 0, 1, 99
"/home/ilobach/fur/shifts/shift_03_16_2020/flat/FLAT.ipynb", "Jupyter", 0, 1411, 0, 1, 1412
"/home/ilobach/fur/shifts/shift_03_16_2020/flat/FLAT_precalculate_beam_params_vs_current.ipynb", "Jupyter", 0, 6444, 0, 1, 6445
"/home/ilobach/fur/shifts/shift_03_16_2020/flat/FLAT_with_M_calculation_with_beam_divergence.ipynb", "Jupyter", 0, 451, 0, 1, 452
"/home/ilobach/fur/shifts/shift_03_16_2020/flat/FLAT_with_M_calculation_with_beam_divergence_vs_no_beam_divergence.ipynb", "Jupyter", 0, 528, 0, 1, 529
"/home/ilobach/fur/shifts/shift_03_16_2020/flat/ex_plot.ipynb", "Jupyter", 0, 177, 0, 1, 178
"/home/ilobach/fur/shifts/shift_03_16_2020/flat/ey_measurement_rcc_cluster.ipynb", "Jupyter", 0, 269, 0, 1, 270
"/home/ilobach/fur/shifts/shift_03_16_2020/flat/plot_flat.ipynb", "Jupyter", 0, 1203, 0, 1, 1204
"/home/ilobach/fur/shifts/shift_03_16_2020/flat/plot_flat_flat_nd_filters.ipynb", "Jupyter", 0, 98, 0, 1, 99
"/home/ilobach/fur/shifts/shift_03_16_2020/investigating_bunch_pulsations.ipynb", "Jupyter", 0, 771, 0, 0, 771
