#    N     S[cm]       BetaX       AlfaX       BetaY       AlfaY        DspX       DspXp        DspY       DspYp
0   384.07908434858365   106.7323364798391   -2.038936893343388   405.78054108794106   -3.3244240259947833   -0.0017696734863606582   -2.5677772516824625e-06   0   0
0   388.07990814388137   125.16030450959381   -2.668768074690017   428.1090797538965   -1.9381447905755893   -0.001789888898260605   -8.79986586159456e-06   0   0
0   392.08073193917915   150.03296131109263   -3.5846256063292166   436.10451746425446   -0.048550999712447016   -0.0018410113001153304   -1.6793475766351025e-05   0   0
0   396.08155573447686   183.20327036916015   -4.7549343570056894   428.8768413891405   1.8444478563663793   -0.0019246605779784155   -2.5083789063476932e-05   0   0
0   400.08237952977464   227.02579401209644   -6.2627675425691605   406.9331090043816   3.6080505262869784   -0.0020423146459694406   -3.381727833537055e-05   0   0
0   404.08320332507236   284.6112314918477   -8.215157221592209   371.8127661629581   5.118533472653143   -0.0021960522127417934   -4.314824611834123e-05   0   0
0   408.08402712037014   358.2139055398344   -9.886043139895596   327.7575274674497   5.4856875876459705   -0.0023824407547485948   -4.7630308714950437e-05   0   0
0   412.08485091566786   441.7306336481675   -10.988832070328414   285.38149231333034   5.106142462559102   -0.002573001227232747   -4.763030871495043e-05   0   0
0   416.08567471096563   534.0714897705143   -12.091621000761243   246.04244336612345   4.726597337472228   -0.0027635616997169024   -4.763030871495043e-05   0   0
0   420.08649850626335   635.1404195747058   -13.001003363118066   209.771714876846   4.284810164254927   -0.0029539002325037283   -4.6585241136165094e-05   0   0
0   424.08732230156113   725.2079464943166   -9.315307671679202   181.8937276990691   2.7437052471416066   -0.0031016747341478116   -2.6970417796912546e-05   0   0
0   428.08814609685885   781.6385460028965   -4.666692723510075   165.09640566129286   1.4911877898817658   -0.0031687696395993076   -6.497577178615181e-06   0   0
0   432.0889698921566   798.5990200042264   0.4643142994846877   157.6129798702231   0.3955156556922962   -0.003153439716008223   1.4144286200787594e-05   0   0
0   436.08979368745435   774.3361940719287   5.547321763169264   158.65633470180342   -0.6585560734168975   -0.003056083733424218   3.4418244087944506e-05   0   0
0   440.0906174827521   711.3581399846214   10.056900097177396   168.33621805757736   -1.7818967783262196   -0.0028792340917820256   5.379693777790399e-05   0   0
0   444.09144127804984   626.9151518282823   10.313839781242528   184.65057598020888   -2.1232027687439006   -0.0026505558038812486   5.757393439170647e-05   0   0
0   448.09226507334756   547.1290406694832   9.628585126752672   202.11716855180163   -2.242545515473314   -0.0024202126371779967   5.757393439170647e-05   0   0
0   452.09308886864534   472.82609553325386   8.94333047226281   220.53869968473015   -2.3618882622027293   -0.002189869470474741   5.7573934391707236e-05   0   0
0   456.09391266394306   404.5063754622491   7.861406827218227   239.6244478731253   -2.245333525525302   -0.001960749210423668   5.561433810923606e-05   0   0
0   460.09473645924083   348.9072020097621   6.0966385759793225   254.68535449626185   -1.5025411182693793   -0.0017507125185518202   4.9497361321018356e-05   0   0
0   464.09556025453855   306.0791416428679   4.6552484429134235   263.4589404777773   -0.6807493765408136   -0.00156381473027185   4.403458566027057e-05   0   0
0   468.09638404983633   273.75050715750086   3.4607821384999005   265.48391627330165   0.17683408236210008   -0.0013975856459270551   3.915381023909992e-05   0   0
0   472.09720784513405   250.20652241977356   2.4498827121809934   260.6538161689618   1.0251198225824851   -0.001249828240963745   3.479052640097112e-05   0   0
